timestamp,l1013aspv,l1013asop,l1013assp,f1023aspv,f1023asop,f1023assp,t1057aspv,t1057asop,t1057assp,f1024aspv,f1024asop,f1024assp,l1014aspv,l1014asop,l1014assp,f1025aspv,f1025asop,f1025assp,l1015aspv,l1015asop,l1015assp,p1049aspv,p1049asop,p1049assp,p1042aspv,p1042asop,p1042assp,p1054aspv,p1054asop,p1054assp,pd1056aspv,pd1056asop,pd1056assp,l1017aspv,l1017asop,l1017assp,f1030aspv,f1030asop,f1030assp,f1031aspv,f1031asop,f1031assp,t1065aspv,t1065asop,t1065assp,f1029aspv,f1029asop,f1029assp,t1067pv,f1026pv,f2021aspv,f2021asop,f2021assp,f1021aspv,f1021asop,f1021assp,f1048aspv,f1048asop,f1048assp,f60
2009-12-25,0.1561786348642476,0.62342857142857133,0,0.61758398856325947,0.46590909090909088,0.65234835968845883,0.67216903268405415,0.045454545454545456,0.67243938644235535,0.43629448889737049,0.5292627311882443,0.48965561885033659,0.21095232072846845,0.40018181818181819,0,0.27791411042944786,0.29132551449435723,0.2890127388535032,0.30161137440758296,0.26855810338126701,0.39333760409993596,0.74864613956366999,0.60809090909090913,0.049275431518131824,0.29652496626180863,0.2526363636363636,0,0.55456859383928103,0.06441048034934499,0,0.62177680342415709,0.91081818181818175,0,0.54900332225913573,0.41884816753926701,1.0,0.34229828850855748,0.46798726565263532,0.37282229965156799,0.23333333333333331,0.16420752022846249,0.13037809647979137,0.22423485321673978,0.65231864095500458,0.0,0.62936985936555734,0.65906562847608463,0.6629284079175628,0.85346358792184684,0.53338686282635728,0.52798861480075898,0.43936363636363635,0.45221052631578951,0.53203568532035694,0.31315322421613101,0.50357894736842113,0.17599999999999999,0.53378151260504203,0.14537444933920707,nan
2009-12-25 00:01:00,0.16518650088809944,0.63323809523809516,0,0.61782225399094592,0.47409090909090906,0.66273306584847769,0.67084846483988114,0.045454545454545456,0.66980042883061197,0.43450334646474281,0.5287560172282747,0.48757379596064215,0.211964082458581,0.39963636363636362,0,0.2760736196319018,0.29077229475547689,0.28768577494692144,0.30085308056872034,0.26729498639720167,0.39333760409993596,0.74779514157511984,0.59463636363636363,0.049275431518131824,0.28994601889338739,0.24299999999999999,0,0.58521635239727854,0.077620087336244564,0,0.66343042071197411,1.0,0,0.53779069767441834,0.40618138827900691,1.0,0.33985330073349634,0.45454545454545453,0.34088269454123116,0.19855072463768084,0.17515468824369354,0.13037809647979137,0.23048094940662076,0.63544536271808993,0.0,0.63682153868215374,0.66852057842046742,0.6693454312780226,0.85213143872113628,0.51266576875259018,0.52514231499051234,0.4209090909090909,0.44757894736842108,0.52433090024330897,0.30684283178860189,0.49515789473684207,0.184,0.55983193277310928,0.14831130690161529,nan
2009-12-25 00:02:00,0.17279878203501647,0.64228571428571424,0,0.63497736478436972,0.47972727272727278,0.67240972386122255,0.6677121162099704,0.045454545454545456,0.66749134092033657,0.43247502078761191,0.5292627311882443,0.4866416364577939,0.2134817250537499,0.40009090909090905,0,0.27730061349693252,0.28900199159106005,0.28582802547770697,0.29971563981042654,0.26544889234356783,0.39333760409993596,0.74666784553833909,0.5758181818181819,0.049275431518131824,0.2817813765182185,0.22863636363636361,0,0.55950340242065366,0.065720524017467266,0,0.62261196367052929,0.89418181818181819,0,0.55980066445182697,0.4326971795304847,1.0,0.33985330073349634,0.46427308100459852,0.38211382113821141,0.22898550724637662,0.16277962874821494,0.13037809647979137,0.23485321673953768,0.6365932047750229,0.0,0.62984103084124576,0.64015572858731939,0.67567929666836846,0.85568383658969815,0.47958972233733943,0.51328273244781786,0.42072727272727273,0.45010526315789473,0.53081914030819144,0.30970222835732603,0.50610526315789472,0.19800000000000001,0.55226890756302516,0.14831130690161529,nan
2009-12-25 00:03:00,0.17635117990357776,0.6448571428571428,0,0.64712890159637837,0.4829090909090909,0.67500590040122732,0.66457576758005932,0.045454545454545456,0.66518225301006106,0.43112825615790407,0.52748923232835065,0.48394355256343863,0.21765524219046417,0.4041818181818182,0,0.27085889570552146,0.28966585527771632,0.28476645435244163,0.29876777251184833,0.26399144966964633,0.39333760409993596,0.7451426803121064,0.55336363636363639,0.049275431518131824,0.27958839406207781,0.22245454545454543,0,0.56885356604851689,0.069104803493449787,0,0.65382607787869296,1.0,0,0.52408637873754127,0.37442999493328832,1.0,0.33740831295843521,0.44640962150689772,0.32520325203252032,0.19130434782608705,0.18657782008567331,0.13037809647979137,0.23672704559650215,0.628902662993572,0.0,0.61728584744287041,0.62958843159065636,0.67821561475684389,0.85213143872113628,0.44420845420638211,0.51375711574952554,0.43136363636363639,0.4454736842105263,0.5360908353609084,0.31187142575428911,0.5065263157894736,0.20000000000000001,0.55159663865546216,0.16005873715124819,nan
2009-12-25 00:04:00,0.18573965998477546,0.65876190476190477,0,0.65237074100548009,0.48809090909090908,0.69483124852489975,0.66309012875536488,0.045454545454545456,0.66138875144317999,0.42810212510734585,0.5282493032683051,0.48339979285344381,0.2247375743012521,0.41199999999999998,0,0.2733128834355828,0.28723168842664309,0.28211252653927815,0.29715639810426536,0.26117372716673143,0.39333760409993596,0.74334121703764278,0.52690909090909088,0.049275431518131824,0.27614709851551916,0.215,0,0.5738403199833777,0.069759825327510905,0,0.63555694748929947,0.9386363636363636,0,0.51536544850498311,0.37172774869109948,1.0,0.31784841075794618,0.43013795542978422,0.3048780487804878,0.21304347826086945,0.19514516896715831,0.13037809647979137,0.24484697064334804,0.62224517906336085,0.0,0.61318358274692963,0.64349276974416025,0.62903691520889982,0.85213143872113628,0.40084956485702444,0.51470588235294124,0.41299999999999998,0.4357894736842105,0.52676399026763987,0.30585683297180044,0.49473684210526314,0.21000000000000002,0.55764705882352938,0.16152716593245231,nan
2009-12-25 00:05:00,0.18751585891905612,0.65742857142857147,0,0.65785084584226827,0.48818181818181822,0.68869483124852493,0.66028392208649722,0.045454545454545456,0.65874979383143661,0.4287209825384059,0.5292627311882443,0.48341791817711033,0.23030226381687116,0.41809090909090912,0,0.27085889570552146,0.28468687762779382,0.2786624203821656,0.29563981042654031,0.25855033035367275,0.39333760409993596,0.74139055281713495,0.49590909090909091,0.049275431518131824,0.26639676113360328,0.19599999999999998,0,0.54833515142070632,0.057751091703056784,0,0.64735358596930792,0.98509090909090913,0,0.5232558139534883,0.37375443337274106,1.0,0.30888345558272212,0.42642377078174742,0.32229965156794427,0.21449275362318801,0.1875297477391718,0.13037809647979137,0.25109306683322946,0.62224517906336085,0.0,0.6110018539573282,0.6301446051167966,0.64864833649410625,0.85523978685612767,0.35580708661417326,0.50047438330170779,0.41545454545454547,0.43747368421052635,0.51459854014598549,0.29481364622362449,0.48336842105263161,0.20800000000000002,0.56168067226890761,0.15859030837004406,nan
2009-12-25 00:06:00,0.19715808170515098,0.67057142857142849,0,0.65499166071003101,0.49754545454545451,0.7047439225867359,0.65566193463189171,0.045454545454545456,0.65446148771235357,0.42869917258488843,0.52900937420825955,0.48099948213360949,0.23953458960414831,0.42881818181818182,0,0.25950920245398773,0.28512945341889806,0.27547770700636948,0.29402843601895734,0.25563544500582974,0.39333760409993596,0.73952830397206071,0.46327272727272728,0.049275431518131824,0.2612010796221324,0.18218181818181817,0,0.58106072411822829,0.070414847161572064,0,0.69213905418102106,1.0,0,0.50747508305647826,0.35416314811687211,1.0,0.28850855745721271,0.41209762999646271,0.28919860627177707,0.17101449275362318,0.22608281770585445,0.13037809647979137,0.25546533416614642,0.62901744719926533,0.0,0.59411138083970949,0.61846496106785331,0.61708526694863375,0.85257548845470665,0.29641525072523828,0.50426944971537002,0.42618181818181822,0.44336842105263158,0.51784266017842662,0.30063103924275292,0.49263157894736836,0.308,0.52941176470588236,0.15418502202643172,nan
2009-12-25 00:07:00,0.19956863740167469,0.67323809523809519,0,0.6738146294972599,0.49972727272727274,0.70592400283219259,0.6523605150214592,0.045454545454545456,0.65231733465281216,0.42669265686127505,0.52799594628832025,0.47992490937338167,0.24636398128240805,0.43681818181818177,0,0.26042944785276073,0.2838017260455854,0.27202760084925692,0.29232227488151658,0.2518460940536339,0.39333760409993596,0.73734554939103913,0.42645454545454542,0.049275431518131824,0.26224696356275301,0.17927272727272725,0,0.55820476858345047,0.058842794759825318,0,0.64369975989142914,0.98363636363636364,0,0.52533222591362105,0.37561222766424585,1.0,0.27872860635696822,0.4136894234170499,0.31591173054587696,0.21304347826086945,0.22846263683960016,0.13037809647979137,0.25421611492816992,0.61099632690541783,0.0,0.6058317712974628,0.61957730812013367,0.62132401348083099,0.85834813499111851,0.23088479071694987,0.52466793168880455,0.42454545454545456,0.44800000000000001,0.51743714517437145,0.30043383947939262,0.48757894736842106,0.23599999999999999,0.4989915966386555,0.13803230543318648,nan
2009-12-25 00:08:00,0.20235980715554425,0.67561904761904756,0,0.68167738861091254,0.499,0.70781213122492326,0.64757345658633225,0.045454545454545456,0.64753422398152727,0.42466705742833383,0.53103623004813783,0.48136716727084411,0.25306690274440369,0.44509090909090909,0,0.25950920245398773,0.27948661208231917,0.26751592356687898,0.29004739336492891,0.24727944034201321,0.39333760409993596,0.73526226210738055,0.38481818181818178,0.049275431518131824,0.26029014844804343,0.17127272727272727,0,0.57280141291361597,0.064519650655021826,0,0.68451821693287396,1.0,0,0.51245847176079706,0.35213646343523053,1.0,0.27383863080684595,0.40431552882914751,0.29732868757259001,0.20289855072463753,0.22275107091861027,0.13037809647979137,0.25983760149906338,0.62098255280073456,0.0,0.59322281289370971,0.61345939933259197,0.64258935439385934,0.86856127886323242,0.16271239121425612,0.52039848197343452,0.42172727272727273,0.44842105263157894,0.5085158150851582,0.29234864918162096,0.47873684210526313,0.30199999999999999,0.53999999999999992,0.14537444933920707,nan
2009-12-25 00:09:00,0.1865008880994671,0.65457142857142858,0,0.67429116035263292,0.49136363636363634,0.68869483124852493,0.64476724991746459,0.045454545454545456,0.64407059211611417,0.42679080165210398,0.53331644286800106,0.48313568099430343,0.26103452636904012,0.45536363636363641,0,0.25306748466257667,0.27539278601460504,0.26061571125265393,0.28720379146919434,0.24086669257675863,0.39333760409993596,0.73356579209124462,0.34390909090909089,0.049275431518131824,0.25796221322537116,0.16218181818181818,0,0.58126850553218068,0.06812227074235809,0,0.65445244806347225,1.0,0,0.51868770764119598,0.36564769464617458,1.0,0.26242868785656071,0.39847895295366115,0.29500580720092917,0.23333333333333331,0.18848167539267027,0.13037809647979137,0.25421611492816992,0.60812672176308546,0.0,0.59975263497526332,0.63904338153503903,0.64473067212429347,0.86145648312611001,0.059314131786158311,0.51565464895635671,0.40754545454545454,0.43242105263157893,0.51378751013787505,0.2940248471701834,0.48673684210526319,0.16200000000000001,0.54689075630252104,0.14831130690161529,nan
